AwardTitle,StartDate,EndDate,AwardAmount,timeline_months
Travel: NSF Student Travel Grant for 2026 International Conference on Software Engineering,2026-04-01,2027-03-31,24000.0,11
Searching for New Physics in the Lab and the Sky,2026-04-01,2026-08-31,70650.0,4
CAREER: A Dynamical Systems Framework for Systemic Inflammatory Response,2026-04-01,2031-03-31,675000.0,59
"Equipment: MRI: Track 3 Acquisition of Helium Recovery Equipment: Helium Liquefaction Facility for Quantum Research, Engineering Laboratories, & Biochemical Applications",2026-04-01,2029-03-31,551619.0,35
Equipment: MRI Track 1: Acquisition of a new Cs Sputter Ion Source for the Edwards Accelerator Laboratory at Ohio University,2026-04-01,2028-03-31,392438.0,23
CAREER: Engineering Bichromatic Moire Superlattices for Tunable Emerging Quasiparticles and Correlated States,2026-04-01,2031-03-31,548927.0,59
"CAREER: AdaptTrust: Adaptable, Trustworthy and Uncertainty-Aware Learning in Intelligent Sensing Technologies",2026-04-01,2031-03-31,560000.0,59
Conference: Soul and Shape: Metric structures and Geometric Analysis,2026-04-01,2027-03-31,30000.0,11
REU Site: Undergraduate Research in Gravitational-Wave Science in the LIGO Project (2026-2028),2026-04-01,2029-03-31,455626.0,35
"Conference: The Gross-Zagier Formula, 40 Years Later",2026-04-01,2027-03-31,49000.0,11
Collaborative Research: RAPID: Catalyzing a Joint US-NZ Spectral Repository of Antarctic Photoautotrophs in the Face of Ongoing Environmental Shifts,2026-04-01,2027-03-31,54741.0,11
Conference: Probability: Seminar on Stochastic Processes 2026,2026-04-01,2027-03-31,48198.0,11
Conference: Red Raider Mini-Symposium on Geometric Analysis and Applications,2026-04-01,2027-03-31,17100.0,11
CAREER: Towards a data-driven systems and control theory,2026-04-01,2031-03-31,570000.0,59
Conference: Trailblazer Engineering Impact Award Workshop,2026-04-01,2027-03-31,55000.0,11
MRI: Track 2 Development of an Ultrafast Table-top X-ray Spectrometer,2026-04-01,2031-03-31,2519046.0,59
Conference: 2026 Crystal Engineering GRC and GRS,2026-04-01,2027-03-31,10000.0,11
"CAREER: Mixed-Domain Pre-Distortion of RF Non-Linear Components for High-Efficiency, Wide-Band, and Reconfigurable Transmitters",2026-04-01,2031-03-31,547357.0,59
EAGER: An Agent Framework for Autonomous Scientific Simulations,2026-04-01,2028-03-31,300000.0,23
Postdoctoral Fellowship: PRFB: Integrating the hygric environment into physiological measures across life stages and latitude to predict population viability,2026-04-01,2029-03-31,270000.0,35
"REU Site: Experimental and Computational Spectroscopy: Fundamental Probes of Molecules, Molecular Interactions, and Materials",2026-04-01,2029-03-31,425610.0,35
"POSE: Phase I: Toward a Comprehensive and Extensible Infrastructure for Machine Learning-Driven High-Level Synthesis Design, Evaluation, and Benchmarking",2026-04-01,2027-03-31,300000.0,11
"CAREER: Interpretable Electro-Chemo-Mechanical Analytics, Diagnostics, and Artificial Intelligence for Porous Electrodes",2026-04-01,2031-03-31,630000.0,59
Conference: Cornell Topology Festival,2026-04-01,2027-03-31,31000.0,11
CAREER: Synthetic Strategy for Polycyclic Meroterpenoids and Sulfur-Containing Macrolatam Natural Products.,2026-04-01,2031-03-31,750000.0,59
"MRI: Track 1 Acquisition of Rapid 3D Prototyping Tool for Advanced Semiconductor, Photonic, and Synthetic Systems Microfabrication",2026-04-01,2029-03-31,1146606.0,35
Conference: Special trimester on Mathematical Developments in Geophysical Fluid Dynamics,2026-04-01,2027-03-31,24500.0,11
TRAILBLAZER: Non-electrical Mechanisms of Neuronal Excitation - A New Direction for Brain-computer Interfaces and Neuroengineering,2026-04-01,2029-03-31,3000000.0,35
"Conference: Student Support Program for the 2026 Modeling, Estimation, and Control Conference (MECC 2026); Phoenix, Arizona; 25-28 October 2026",2026-04-01,2027-03-31,30100.0,11
CAREER: Human-AI Collaboration to Debug Analog Circuits,2026-03-15,2031-02-28,357497.0,59
Testing Hydrothermal Activity Changes Over Time Using Metal Records from the Pacific Ocean,2026-03-15,2028-02-29,164940.0,23
Space Weather Workshop 2026,2026-03-15,2027-02-28,35000.0,11
Timing and Formation of the Manihiki and Hikurangi Plateaus and Their Influence on Ocean Conditions,2026-03-15,2028-02-29,499008.0,23
Equipment: MRI: Track1 Acquisition of a ZEISS LSM980 Airyscan Confocal Microscope for Plant Research,2026-03-15,2029-02-28,783491.0,35
Conference: Identifying and Removing Gaps and Barriers to Translating Research to Practice,2026-03-15,2027-02-28,148940.0,11
EPSCoR Research Fellows: NSF: Documenting Language Change and Emerging Varieties among Non-Native Speaking Communities,2026-03-15,2028-02-29,160498.0,23
Conference: Meeting in the Middle: Conference on characteristic 0 and characteristic p multiple zeta values,2026-03-15,2027-02-28,16080.0,11
Measuring Entanglement During Chemical Dynamics,2026-03-15,2029-02-28,750000.0,35
Autonomous Reef Monitoring Structures Resilience: Strengthening coral reefs and food systems,2026-03-15,2029-02-28,1288526.0,35
MRI: Track 1: Acquisition of a Thermal-Ionization Mass Spectrometer at Texas A&M University,2026-03-15,2029-02-28,874116.0,35
POSE: Phase I: OpenLibSignal: Building a Distributed Open-Source Ecosystem for AI-Enabled Urban Systems Research,2026-03-15,2027-02-28,298888.0,11
"Collaborative Research: STEM Persistence and Retention for Talented, Low-Income Students via Scholarships, Curricula, Centralization, Cohorts, and Collaboration",2026-03-15,2031-02-28,750000.0,59
Conference: Cascade Topology Seminar,2026-03-15,2027-02-28,17000.0,11
"Collaborative Research: STEM Persistence and Retention for Talented, Low-Income Students via Scholarships, Curricula, Centralization, Cohorts, and Collaboration",2026-03-15,2031-02-28,750000.0,59
Collaborative Research: Accounting for geolocation error in point pattern analysis,2026-03-15,2027-07-31,34625.0,16
Conference: The 9th International Conference on Computational Harmonic Analysis 2026,2026-03-15,2027-02-28,25000.0,11
Conference: 59th Spring Topology and Dynamics Conference,2026-03-15,2027-02-28,30000.0,11
"Travel: Oregon Programming Languages Summer School 2026: Types, Proofs, and Program Logics",2026-03-15,2026-11-30,20000.0,8
Travel: 2026 International Programming Language Implementation Summer School (PLISS),2026-03-15,2026-11-30,15000.0,8
"Collaborative Research: STEM Persistence and Retention for Talented, Low-Income Students via Scholarships, Curricula, Centralization, Cohorts, and Collaboration",2026-03-15,2031-02-28,750000.0,59
Conference: Exoplanet Atmospheres 2026,2026-03-15,2027-02-28,44184.0,11
Conference: 2026 Geosciences Open Science Ecosystem Principal Investigator Meeting,2026-03-15,2027-02-28,49998.0,11
Collaborative Research: FMitF: Track I: Reasoning About Shell Scripts and Their Effects in Context,2026-03-15,2029-02-28,229687.0,35
SHINE: Multimodal Machine Learning Approaches for Solar Energetic Particles Events Prediction and Posthoc Analysis,2026-03-15,2029-02-28,580185.0,35
"Collaborative Research: STEM Persistence and Retention for Talented, Low-Income Students via Scholarships, Curricula, Centralization, Cohorts, and Collaboration",2026-03-15,2031-02-28,750000.0,59
Conference: The 2026 Gainesville International Number Theory Conference,2026-03-15,2027-02-28,49920.0,11
Cross-Cutting Improvements: Empowering Vermont Open Data,2026-03-15,2029-02-28,584821.0,35
Collaborative Research: Cross-Cutting Improvements: Infrastructure for Creating and Sharing FAIR Scientific Research Metadata via MEDFORD,2026-03-15,2029-02-28,307921.0,35
Research Infrastructure: CC Network-Region: Expanding the Pennsylvania Science DMZ Supporting Under-Resourced Colleges and Universities (PA-Science-DMZ-2024),2026-03-15,2028-02-29,1328423.0,23
NSFGEO-NERC: Carbon concentration and variability in Earths mantle,2026-03-15,2029-02-28,536839.0,35
CAREER: Hunting Magnetic Fingerprints on the Sun--A Tale of Flare-Jet Connections,2026-03-15,2031-02-28,382856.0,59
Collaborative Research: Cross-Cutting Improvements: Infrastructure for Creating and Sharing FAIR Scientific Research Metadata via MEDFORD,2026-03-15,2029-02-28,291780.0,35
EAGER: Understanding Water Circulation in Semi-Enclosed Coastal Basins,2026-03-15,2027-02-28,57096.0,11
Equipment: MRI: Track 1 Acquisition of a High-Performance GPU Compute Cluster for Quantum- and AI-driven Chemistry and Materials Research,2026-03-15,2029-02-28,1399999.0,35
CAREER: Influence of Microplastics on Aerosol Processes,2026-03-15,2031-02-28,750000.0,59
Collaborative Research: FMitF: Track I: Reasoning About Shell Scripts and Their Effects in Context,2026-03-15,2029-02-28,454687.0,35
Travel: International Conference on Complex and Differential Geometry,2026-03-15,2027-02-28,20000.0,11
Conference: ICM2026 Satellite Conference: Southeastern Lie Theory Workshop XVI,2026-03-15,2027-02-28,40000.0,11
Conference: Meeting on Applied Algebraic Geometry: MAAG 2026,2026-03-15,2027-02-28,18677.0,11
Collaborative Research: Cooperative Processes at Surfaces: Ligand Binding at the Single Molecule Level,2026-03-15,2026-12-31,95015.0,9
Conference: NSF Student Travel Grant for 2026 IEEE International Conference on Computer Communications (INFOCOM),2026-03-15,2027-02-28,21000.0,11
Collaborative Research: FMitF: Track I: Reasoning About Shell Scripts and Their Effects in Context,2026-03-15,2029-02-28,225000.0,35
"Collaborative Research: STEM Persistence and Retention for Talented, Low-Income Students via Scholarships, Curricula, Centralization, Cohorts, and Collaboration",2026-03-15,2031-02-28,2000000.0,59
Conference: ExPet26 Workshop: A New Scientific Meeting for Experimental Petrologists in the US,2026-03-15,2027-02-28,55640.0,11
"Collaborative Research: Ceramic Engineering Readiness through Access to Mentorship, Internships, and Careers",2026-03-15,2031-02-28,948900.0,59
"Collaborative Research: Ceramic Engineering Readiness through Access to Mentorship, Internships, and Careers",2026-03-15,2031-02-28,1002679.0,59
"Collaborative Research: Ceramic Engineering Readiness through Access to Mentorship, Internships, and Careers",2026-03-15,2031-02-28,987613.0,59
Nonlinear Optical Two-Dimensional Perovskite Light Sources for Quantum Technologies,2026-03-15,2029-02-28,655150.0,35
CAREER: pi-Conjugated Allene Polymers as Conformationally and Electronically Switchable Chiral Materials,2026-03-15,2031-02-28,687371.0,59
"Convergence Workshop on the Mechanics of BioNetworks; Boulder, Colorado; 11-13 May 2026",2026-03-01,2026-08-31,34199.0,5
Quantifying the Impact of Cloud-Surface-Coupling on Aerosol-Cloud Interactions over Land,2026-03-01,2029-02-28,799030.0,35
Postdoctoral Fellowship: PRFB: Elucidating the chemical potential of the small intestinal microbiome,2026-03-01,2029-02-28,270000.0,35
Conference: Universal Statistics in Number Theory,2026-03-01,2027-02-28,34000.0,11
"Conference: 2026 Geologic Hydrogen Gordon Conference: Generation, Stimulation, Migration, Accumulation, Exploration, and Economic-Environmental Considerations of Geologic Hydrogen",2026-03-01,2026-08-31,49977.0,5
CAREER: Mechanism-Guided Synthesis of Functional MNenes,2026-03-01,2031-02-28,471118.0,59
MRI Track 1: Acquisition of an Advanced System for Real-time Measurement and Monitoring of Bioaerosols,2026-03-01,2029-02-28,358749.0,35
